skade_type;skade_kategori;b0;b1;b2;c0
Stormflod;Helårsbeboelse;0.0;1167.86;-571.21;578.0
Stormflod;Sommerhus;0.0;1681.71;-2128.87;578.0
Stormflod;Garage mm.;30000.0;0.0;0.0;578.0
Stormflod;Anneks;30000.0;0.0;0.0;578.0
Stormflod;Erhverv;0.0;1387.94;-881.80;578.0
Stormflod;Kultur ;0.0;1387.94;-881.80;578.0
Stormflod;Forsyning;0.0;1387.94;-881.80;578.0
Stormflod;Offentlig;0.0;1387.94;-881.80;578.0
Stormflod;Ingen data;0.0;0.0;2000.0;578.0
Stormflod;Andet;0.0;0.0;2000.0;578.0
Skybrud;Helårsbeboelse;0.0;1167.86;-571.21;578.0
Skybrud;Sommerhus;0.0;1681.71;-2128.87;578.0
Skybrud;Garage mm.;30000.0;0.0;0.0;578.0
Skybrud;Anneks;30000.0;0.0;0.0;578.0
Skybrud;Erhverv;0.0;1387.94;-881.80;578.0
Skybrud;Kultur ;0.0;1387.94;-881.80;578.0
Skybrud;Forsyning;0.0;1387.94;-881.80;578.0
Skybrud;Offentlig;0.0;1387.94;-881.80;578.0
Skybrud;Ingen data;0.0;0.0;2000.0;578.0
Skybrud;Andet;0.0;0.0;2000.0;578.0
Vandløb;Helårsbeboelse;0.0;1167.86;-571.21;578.0
Vandløb;Sommerhus;0.0;1681.71;-2128.87;578.0
Vandløb;Garage mm.;30000.0;0.0;0.0;578.0
Vandløb;Anneks;30000.0;0.0;0.0;578.0
Vandløb;Erhverv;0.0;1387.94;-881.80;578.0
Vandløb;Kultur ;0.0;1387.94;-881.80;578.0
Vandløb;Forsyning;0.0;1387.94;-881.80;578.0
Vandløb;Offentlig;0.0;1387.94;-881.80;578.0
Vandløb;Ingen data;0.0;0.0;2000.0;578.0
Vandløb;Andet;0.0;0.0;2000.0;578.0
